Time (s),$ T_{tr} $ (nexaFoam)_Temp,"$ T_{vib, N_2} $ (nexaFoam)_Temp","$ T_{vib, O_2} $ (nexaFoam)_Temp"
3.45e-07,10514.2,20713.8,10466.1
3.46e-07,10525.0,20662.3,10467.1
3.47e-07,10535.7,20610.9,10468.3
3.48e-07,10546.4,20559.7,10469.7
3.49e-07,10557.0,20508.5,10471.4
3.5e-07,10567.5,20457.4,10473.2
3.51e-07,10578.0,20406.4,10475.2
3.52e-07,10588.4,20355.5,10477.4
3.53e-07,10598.8,20304.7,10479.8
3.54e-07,10609.1,20254.0,10482.3
3.55e-07,10619.4,20203.4,10485.1
3.56e-07,10629.6,20153.0,10488.0
3.57e-07,10639.7,20102.7,10491.0
3.58e-07,10649.8,20052.5,10494.2
3.59e-07,10659.8,20002.4,10497.6
3.6e-07,10669.8,19952.4,10501.1
3.61e-07,10679.7,19902.6,10504.8
3.62e-07,10689.6,19852.8,10508.6
3.63e-07,10699.4,19803.3,10512.6
3.64e-07,10709.2,19753.8,10516.7
3.65e-07,10718.9,19704.5,10520.9
3.66e-07,10728.6,19655.3,10525.3
3.67e-07,10738.2,19606.3,10529.8
3.68e-07,10747.7,19557.4,10534.4
3.69e-07,10757.2,19508.6,10539.1
3.7e-07,10766.7,19460.0,10544.0
3.71e-07,10776.1,19411.5,10548.9
3.72e-07,10785.4,19363.2,10554.0
3.73e-07,10794.7,19315.0,10559.2
3.74e-07,10803.9,19267.0,10564.4
3.75e-07,10813.1,19219.2,10569.8
3.76e-07,10822.3,19171.4,10575.3
3.77e-07,10831.4,19123.9,10580.8
3.78e-07,10840.4,19076.5,10586.5
3.79e-07,10849.4,19029.3,10592.2
3.8e-07,10858.3,18982.2,10598.0
3.81e-07,10867.2,18935.3,10603.9
3.82e-07,10876.0,18888.5,10609.9
3.83e-07,10884.8,18841.9,10616.0
3.84e-07,10893.6,18795.5,10622.1
3.85e-07,10902.3,18749.3,10628.3
3.86e-07,10910.9,18703.2,10634.6
3.87e-07,10919.5,18657.3,10640.9
3.88e-07,10928.0,18611.5,10647.3
3.89e-07,10936.5,18566.0,10653.7
3.9e-07,10945.0,18520.6,10660.2
3.91e-07,10953.4,18475.4,10666.8
3.92e-07,10961.7,18430.3,10673.4
3.93e-07,10970.0,18385.5,10680.1
3.94e-07,10978.3,18340.8,10686.8
3.95e-07,10986.5,18296.3,10693.6
3.96e-07,10994.7,18252.0,10700.4
3.97e-07,11002.8,18207.9,10707.3
3.98e-07,11010.8,18163.9,10714.2
3.99e-07,11018.9,18120.2,10721.1
4e-07,11026.8,18076.6,10728.1
4.01e-07,11034.8,18033.2,10735.1
4.02e-07,11042.6,17990.0,10742.1
4.03e-07,11050.5,17947.0,10749.2
4.04e-07,11058.3,17904.2,10756.3
4.05e-07,11066.0,17861.6,10763.4
4.06e-07,11073.7,17819.2,10770.5
4.07e-07,11081.4,17776.9,10777.7
4.08e-07,11089.0,17734.9,10784.9
4.09e-07,11096.5,17693.0,10792.1
4.1e-07,11104.1,17651.4,10799.3
4.11e-07,11111.5,17609.9,10806.6
4.12e-07,11118.9,17568.7,10813.8
4.13e-07,11126.3,17527.6,10821.1
4.14e-07,11133.7,17486.7,10828.4
4.15e-07,11141.0,17446.1,10835.7
4.16e-07,11148.2,17405.6,10843.0
4.17e-07,11155.4,17365.3,10850.4
4.18e-07,11162.6,17325.3,10857.7
4.19e-07,11169.7,17285.4,10865.0
4.2e-07,11176.8,17245.7,10872.4
4.21e-07,11183.8,17206.3,10879.7
4.22e-07,11190.8,17167.0,10887.0
4.23e-07,11197.7,17128.0,10894.4
4.24e-07,11204.6,17089.1,10901.7
4.25e-07,11211.5,17050.4,10909.1
4.26e-07,11218.3,17012.0,10916.4
